LISL_Range_km,Required_Transmit_Power_mW,Required_Transmit_Power_dBm
1575,84.46662238047,19.2668512812544
1731,102.027712009097,20.0871814762499
2000,136.202162568659,21.3418400320216
3000,306.454865779483,24.8636652131353
4000,544.808650274636,27.3624399453013
5016,856.720319495269,29.3283906751952
